b1_base_fr,b2_isi_cv,b3_serial_corr,r1_fr_modulation,c1_coh_zero,c2_coh_max,c3_coh_highf,c4_fcoh_max,c5_fcutoff,g1_gain_0,g2_gain_halfup,g3_gain_max,g4_gain_rate,g5_gain_highf,g6_fhalfup,g7_fgain_max,g8_fcuoff
79.1,0.0964652807079427,0.0184176878294434,42.4619940597483,0.753253774294261,0.881552243884442,0.0465063510041463,10.986328125,32.958984375,241.090037437377,359.07529101781,454.960369222816,89.1978213819987,20.6948258559962,6.103515625,13.427734375,28.076171875
127.633333333333,0.190453140216536,-0.142135664869509,76.2427992929017,0.350358304734992,0.6460374364207,0.0617434856643092,15.869140625,40.283203125,318.87428902113,539.137754156215,631.84045679079,89.2415265559281,18.617108860429,8.544921875,17.08984375,37.841796875
168.9,0.103551846559064,-0.152296584634927,143.892370570708,0.855496698014941,0.904345991625952,0.200156566024084,7.32421875,65.91796875,1015.1859919569,1244.11522658164,1394.5021726577,19.6117332301567,32.7903834311074,4.8828125,9.765625,31.73828125
155.4,0.106055520252298,-0.121402325228605,22.5087101714038,0.581260428441348,0.767627970997343,0.0541157551499301,12.20703125,54.931640625,89.0786956036042,166.863418641567,198.24489622779,28.6841188779425,24.7245155521453,8.544921875,18.310546875,48.828125
100.333333333333,0.0870238227546368,-0.317739060051339,65.6387644813213,0.885559736936217,0.946032615960215,0.060361851556226,10.986328125,52.490234375,265.386918674518,499.664997911488,598.230932166676,58.2798860253039,21.6464585283441,9.765625,20.751953125,42.724609375
124.6,0.0587529308901111,0.161676870580826,62.2982859517596,0.898929540858621,0.956091239196195,0.0542981624451027,10.986328125,57.373046875,323.902081577645,506.428260291133,591.236345256509,35.8180512836816,23.9211763233847,7.32421875,14.6484375,39.0625
125.566666666667,0.0846166714419293,-0.129797204086159,20.3992664693331,0.611585287637038,0.812508427045263,0.0498637131085445,10.986328125,45.166015625,83.7474019838959,147.268745083699,174.900127236517,51.0053037924318,36.3844331663396,9.765625,19.53125,43.9453125
90.9,0.10979376848421,-0.258231227371677,65.9133058134516,0.90333631286919,0.949046099472349,0.050275558061257,9.765625,37.841796875,303.405673424517,558.539746090088,697.268316465693,63.0836268695358,19.1744013429424,8.544921875,18.310546875,30.517578125
192.76,0.135404518548073,-0.301596883748369,45.6060228204997,0.855366928933774,0.920167079144669,0.0561173938934133,10.986328125,61.03515625,200.567784408751,354.037376755165,411.302472675998,13.2288913694099,18.5716552053426,8.544921875,18.310546875,46.38671875
142,0.0863379324589844,-0.251389456394182,79.9036700849031,0.946970128946655,0.974848987915115,0.0834109243927069,10.986328125,61.03515625,457.331690943189,678.894889552515,740.122432959664,16.4797557399422,26.3759373217446,8.544921875,17.08984375,40.283203125
131.64,0.107278007679426,-0.115233021497694,72.2696311715698,0.781451061926266,0.922551696782203,0.0956070784604076,12.20703125,63.4765625,244.880160489067,490.794871422938,637.238692118176,27.9900671795903,27.7534188105585,9.765625,20.751953125,50.048828125
162.5,0.160521269825333,-0.249266889066926,55.4784906270106,0.513902477789971,0.804937581986794,0.0589570810645218,30.517578125,53.7109375,252.482229871607,439.749017260195,481.845769518897,17.6363618477296,22.6768890967488,10.986328125,21.97265625,47.607421875
93.3,0.220480125469074,-0.470869147704479,66.806034589078,0.765158096735645,0.854006401259876,0.0489055114623533,10.986328125,37.841796875,266.080997862273,502.535497257335,693.212200021051,53.4281451682869,17.1893401598052,9.765625,20.751953125,36.62109375
